details,status,test
"{""ecology_spearman"": {""AFFINE_BOOLEAN_V1"": -0.7999999999999999, ""V31_FRESH"": -0.3}, ""pooled_spearman"": 0.03658536585365854, ""status"": ""FAIL""}",FAIL,V11-A
"{""ecology"": {""AFFINE_BOOLEAN_V1"": {""mean_difference"": 0.005642076365403295, ""seed_differences"": [0.006953533168048996, 0.02635175611487052, -0.005481322688647008, 0.012964350791964174, -0.010579987218878862, 0.003644128025061944], ""status"": ""FAIL""}, ""V31_FRESH"": {""mean_difference"": 0.007791151063892027, ""seed_differences"": [0.0207209993992353, -0.00875269858000108, 0.003241922663815445, 0.008587053544300107, 0.0025631153437924784, 0.020386514012209908], ""status"": ""FAIL""}}, ""status"": ""FAIL""}",FAIL,V11-B
"{""ecology"": {""AFFINE_BOOLEAN_V1"": {""means"": {""C3"": -0.012024949104373217, ""C6"": -0.006884301959768458, ""C7"": -0.006620014171903599}, ""observed_order"": false, ""private_gt_shared_seeds"": 1}, ""V31_FRESH"": {""means"": {""C3"": 0.0006359251800503929, ""C6"": -0.016011490639957857, ""C7"": -0.002966722966551932}, ""observed_order"": false, ""private_gt_shared_seeds"": 3}}, ""status"": ""FAIL""}",FAIL,V11-C
"{""ecology"": {""AFFINE_BOOLEAN_V1"": {""mean_difference"": -0.012024949104373217, ""positive_seeds"": 0, ""seed_differences"": [-0.01405372637439253, -0.009452884430950353, -0.012003575268773919, -0.015954157512996104, -0.009678494446557218, -0.011006856592569173]}, ""V31_FRESH"": {""mean_difference"": 0.0006359251800503929, ""positive_seeds"": 4, ""seed_differences"": [0.0022729727467756893, -0.022269490924815658, 0.019583916773283243, 0.010143905195961096, -0.02046832850206076, 0.014552575791158746]}}, ""status"": ""FAIL""}",FAIL,V11-D
