cell_id,checkpoint,component,ecology,mean_accuracy
C0,0,1,V31_FRESH,0.4856770833333333
C0,0,2,V31_FRESH,0.546875
C0,0,3,V31_FRESH,0.4817708333333333
C0,16,1,V31_FRESH,0.5559895833333334
C0,16,2,V31_FRESH,0.58203125
C0,16,3,V31_FRESH,0.5221354166666666
C0,32,1,V31_FRESH,0.5911458333333334
C0,32,2,V31_FRESH,0.6276041666666666
C0,32,3,V31_FRESH,0.5625
C0,64,1,V31_FRESH,0.5833333333333334
C0,64,2,V31_FRESH,0.6197916666666666
C0,64,3,V31_FRESH,0.609375
C0,128,1,V31_FRESH,0.5625
C0,128,2,V31_FRESH,0.6263020833333334
C0,128,3,V31_FRESH,0.55859375
C1,0,1,V31_FRESH,0.4856770833333333
C1,0,2,V31_FRESH,0.546875
C1,0,3,V31_FRESH,0.4817708333333333
C1,16,1,V31_FRESH,0.5651041666666666
C1,16,2,V31_FRESH,0.5768229166666666
C1,16,3,V31_FRESH,0.4986979166666667
C1,32,1,V31_FRESH,0.5911458333333334
C1,32,2,V31_FRESH,0.5768229166666666
C1,32,3,V31_FRESH,0.5572916666666666
C1,64,1,V31_FRESH,0.5846354166666666
C1,64,2,V31_FRESH,0.6263020833333334
C1,64,3,V31_FRESH,0.578125
C1,128,1,V31_FRESH,0.5559895833333334
C1,128,2,V31_FRESH,0.6302083333333334
C1,128,3,V31_FRESH,0.5494791666666666
C2,0,1,V31_FRESH,0.4856770833333333
C2,0,2,V31_FRESH,0.546875
C2,0,3,V31_FRESH,0.4817708333333333
C2,16,1,V31_FRESH,0.5638020833333334
C2,16,2,V31_FRESH,0.5651041666666666
C2,16,3,V31_FRESH,0.5065104166666666
C2,32,1,V31_FRESH,0.5794270833333334
C2,32,2,V31_FRESH,0.6002604166666666
C2,32,3,V31_FRESH,0.5611979166666666
C2,64,1,V31_FRESH,0.5833333333333334
C2,64,2,V31_FRESH,0.6315104166666666
C2,64,3,V31_FRESH,0.5651041666666666
C2,128,1,V31_FRESH,0.5833333333333334
C2,128,2,V31_FRESH,0.6263020833333334
C2,128,3,V31_FRESH,0.5794270833333334
C3,0,1,V31_FRESH,0.4856770833333333
C3,0,2,V31_FRESH,0.546875
C3,0,3,V31_FRESH,0.4817708333333333
C3,16,1,V31_FRESH,0.5598958333333334
C3,16,2,V31_FRESH,0.5598958333333334
C3,16,3,V31_FRESH,0.48828125
C3,32,1,V31_FRESH,0.5963541666666666
C3,32,2,V31_FRESH,0.59765625
C3,32,3,V31_FRESH,0.53515625
C3,64,1,V31_FRESH,0.5716145833333334
C3,64,2,V31_FRESH,0.6315104166666666
C3,64,3,V31_FRESH,0.5859375
C3,128,1,V31_FRESH,0.5703125
C3,128,2,V31_FRESH,0.6197916666666666
C3,128,3,V31_FRESH,0.5755208333333334
C4,0,1,V31_FRESH,0.4856770833333333
C4,0,2,V31_FRESH,0.546875
