beta,cell_id,ecology,epsilon,g_excess_obs,g_excess_obs_joint,g_obs,g_obs_joint,k,psi_bit_0,psi_bit_128,psi_bit_16,psi_bit_32,psi_bit_64,psi_joint_0,psi_joint_128,psi_joint_16,psi_joint_32,psi_joint_64,q_share,seed
0.0,C0,V31_FRESH,0.1,0.0,0.0,0.0011313613002244182,0.0025270756163615488,8,0.002088758680555555,0.009358723958333336,0.006245930989583333,0.012051052517361112,0.007493760850694444,0.0009765625,0.01763916015625,0.010009765625,0.02252197265625,0.01318359375,0.0,98101
4.0,C1,V31_FRESH,0.1,-0.0034347037987038473,-0.0030461319329065165,-0.002303342498479429,-0.0005190563165449676,8,0.002088758680555555,0.009229871961805556,0.005452473958333332,0.01378716362847222,0.00592041015625,0.0009765625,0.01373291015625,0.00787353515625,0.015869140625,0.00885009765625,0.0,98101
8.0,C2,V31_FRESH,0.1,0.014817485505524669,0.01393015239292603,0.015948846805749088,0.01645722800928758,8,0.002088758680555555,0.008470323350694444,0.0048828125,0.009284125434027778,0.011345757378472224,0.0009765625,0.013916015625,0.00689697265625,0.01422119140625,0.01666259765625,0.0,98101
12.0,C3,V31_FRESH,0.1,0.0022729727467756893,0.00048821932223835516,0.0034043340470001075,0.003015294938599904,8,0.002088758680555555,0.00955539279513889,0.006571451822916669,0.005777994791666668,0.0074598524305555585,0.0009765625,0.01470947265625,0.00927734375,0.00982666015625,0.0107421875,0.0,98101
20.0,C4,V31_FRESH,0.1,-0.008195146903299002,0.0023958859395598426,-0.007063785603074584,0.004922961555921391,8,0.002088758680555555,0.00726996527777778,0.00960964626736111,0.006401909722222224,0.006456163194444446,0.0009765625,0.01708984375,0.01123046875,0.012939453125,0.014404296875,0.0,98101
16.0,C5,V31_FRESH,0.55,-0.005903513893710631,-0.007308248276862762,-0.004772152593486212,-0.004781172660501213,8,0.002088758680555555,0.00851779513888889,0.006625705295138888,0.006462944878472223,0.005323621961805557,0.0009765625,0.015869140625,0.01666259765625,0.01373291015625,0.012939453125,0.0,98101
12.0,C6,V31_FRESH,0.1,-0.01067271816680802,-0.023968988816787627,-0.009541356866583603,-0.02144191320042608,8,0.002088758680555555,0.0033704969618055564,0.007927788628472224,0.00241427951388889,0.004075792100694444,0.0009765625,0.00494384765625,0.01861572265625,0.00738525390625,0.00592041015625,0.5,98101
12.0,C7,V31_FRESH,0.1,0.006680667445826155,-0.01918838830333346,0.007812028746050573,-0.01666131268697191,8,0.002088758680555555,0.0008748372395833334,0.0017971462673611108,0.0015258789062499998,0.0024685329861111114,0.0009765625,0.00054931640625,0.010009765625,0.005126953125,0.004150390625,1.0,98101
0.0,C0,V31_FRESH,0.1,0.0,0.0,0.013532293876083686,0.02452281321730422,8,0.005642361111111112,0.01947699652777778,0.00521511501736111,0.005811903211805554,0.009772406684027778,0.007568359375,0.03228759765625,0.0048828125,0.01617431640625,0.01861572265625,0.0,98102
4.0,C1,V31_FRESH,0.1,-0.02220739551551261,-0.014563306785682663,-0.008675101639428922,0.009959506431621558,8,0.005642361111111112,0.007269965277777778,0.009338378906250002,0.006951226128472222,0.005967881944444446,0.007568359375,0.01812744140625,0.00640869140625,0.02099609375,0.0126953125,0.0,98102
